iter	Logloss
0	0.6808162558
1	0.6703263168
2	0.6583045249
3	0.6481523528
4	0.6383638874
5	0.6309118364
6	0.6227635607
7	0.6158647907
8	0.6090608078
9	0.6036152167
10	0.5987974912
11	0.5939046928
12	0.5886673527
13	0.5850493894
14	0.581445281
15	0.57769298
16	0.5745767233
17	0.5718494417
18	0.5688581843
19	0.5659595168
20	0.5625358275
21	0.5592854771
22	0.5562344666
23	0.5533491047
24	0.5520798238
25	0.5494732692
26	0.5472241957
27	0.5466394207
28	0.5443532991
29	0.5426429192
30	0.5404333963
31	0.538326412
32	0.5365275926
33	0.5349772462
34	0.5321285052
35	0.5311106879
36	0.5294042754
37	0.5283751056
38	0.5268127963
39	0.5253717633
40	0.5228653669
41	0.5212341492
42	0.5204601052
43	0.5186570744
44	0.5175729122
45	0.5162351502
46	0.5144742335
47	0.513279232
48	0.5121817032
49	0.510536295
50	0.5089819508
51	0.5076155024
52	0.5063666071
53	0.5055171545
54	0.5046154865
55	0.5034502395
56	0.5015809859
57	0.500415861
58	0.4989691518
59	0.4979869483
60	0.4966572429
61	0.4960391734
62	0.4946795304
63	0.4936024787
64	0.4929248392
65	0.491879953
66	0.4896966445
67	0.4889227531
68	0.4877020864
69	0.4864946949
