iter	Passed	Remaining
0	13	68394
1	28	72122
2	42	70581
3	57	72251
4	68	68635
5	80	67279
6	91	64943
7	102	63800
8	113	63008
9	123	61516
10	130	59054
11	138	57761
12	146	56161
13	154	55023
14	162	54012
15	169	52783
16	176	51602
17	182	50481
18	189	49599
19	195	48676
20	204	48541
21	211	47809
22	218	47187
23	239	49681
24	249	49552
25	261	50022
26	273	50301
27	286	50943
28	299	51269
29	307	50875
30	315	50520
31	322	50041
32	334	50314
33	341	49943
34	350	49675
35	359	49585
36	366	49223
37	376	49147
38	384	48873
39	391	48521
40	399	48364
41	407	48123
42	415	47879
43	423	47676
44	432	47621
45	439	47324
46	446	47063
47	454	46914
48	462	46776
49	470	46594
50	477	46318
51	486	46275
52	493	46029
53	501	45899
54	509	45813
55	516	45603
56	522	45349
57	534	45530
58	542	45428
59	550	45321
60	557	45135
61	567	45162
62	573	44978
63	582	44896
64	589	44739
65	598	44740
66	608	44780
67	618	44824
68	630	45063
69	641	45182
70	648	45054
71	661	45281
72	665	44920
73	672	44773
74	679	44590
75	685	44440
76	697	44621
77	708	44677
78	716	44605
79	725	44611
80	733	44541
81	742	44536
82	750	44431
83	759	44439
84	767	44357
85	776	44380
86	784	44295
87	794	44323
88	802	44301
89	812	44349
90	824	44479
91	831	44364
92	840	44368
93	851	44435
94	859	44364
95	866	44278
96	877	44338
97	885	44292
98	894	44290
99	903	44272
100	912	44244
101	921	44271
102	929	44176
103	937	44148
104	944	44017
105	951	43951
106	960	43902
107	968	43859
108	975	43757
109	987	43918
110	994	43785
111	1002	43737
112	1008	43623
113	1015	43544
114	1023	43461
115	1032	43459
116	1039	43384
117	1046	43310
118	1053	43215
119	1060	43117
120	1070	43163
121	1077	43094
122	1085	43058
123	1093	43006
124	1100	42926
125	1107	42838
126	1117	42893
127	1124	42801
128	1133	42803
129	1139	42705
130	1151	42806
131	1158	42713
132	1168	42766
133	1175	42674
134	1186	42745
135	1194	42735
136	1202	42671
137	1210	42650
138	1217	42593
139	1228	42651
140	1236	42596
141	1243	42543
142	1251	42510
143	1261	42555
144	1269	42506
145	1277	42467
146	1284	42420
147	1294	42435
148	1302	42396
149	1309	42328
150	1316	42286
151	1322	42193
152	1332	42200
153	1341	42211
154	1348	42161
155	1355	42091
156	1363	42065
157	1370	41987
158	1380	42020
159	1386	41932
160	1394	41900
161	1400	41833
162	1408	41791
163	1415	41735
164	1427	41827
165	1433	41747
166	1445	41840
167	1452	41763
168	1459	41720
169	1465	41646
170	1473	41620
171	1481	41576
172	1492	41636
173	1498	41556
174	1508	41583
175	1515	41527
176	1524	41549
177	1532	41507
178	1543	41570
179	1549	41499
180	1560	41538
181	1566	41474
182	1574	41446
183	1581	41402
184	1589	41368
185	1595	41302
186	1603	41261
187	1610	41230
188	1619	41225
189	1626	41175
190	1634	41145
191	1644	41168
192	1650	41115
193	1659	41108
194	1667	41083
195	1675	41055
196	1681	41007
197	1690	40991
198	1698	40984
199	1707	40987
200	1714	40932
201	1723	40926
202	1731	40920
203	1741	40944
204	1752	40985
205	1758	40931
