customer_id,kyc_verified,account_age_days,transaction_amount,channel_encoded,hour_of_day,day_of_week,is_night_txn,is_high_amount_transaction,high_amount_night_txn,new_customer_high_amount,kyc_low_age_txn,is_weekend_txn,is_holiday_txn
CUST_566,1,2348,7507,3,13,5,0,0,0,0,0,1,0
CUST_386,0,1861,228746,1,17,4,0,1,0,0,0,0,0
CUST_187,1,1325,10559,3,3,1,1,0,0,0,0,0,0
CUST_760,1,1564,61178,1,4,5,1,1,1,0,0,1,0
CUST_554,1,1769,10300,0,14,5,0,0,0,0,0,1,0
CUST_324,0,669,22467,2,9,3,0,0,0,0,0,0,0
CUST_546,1,869,5663,1,18,3,0,0,0,0,0,0,0
CUST_462,0,1822,13109,2,4,4,1,0,0,0,0,0,1
CUST_526,1,1398,69506,1,3,5,1,1,1,0,0,1,0
CUST_174,1,2084,61232,1,17,1,0,1,0,0,0,0,0
CUST_572,1,2843,7873,0,23,2,0,0,0,0,0,0,0
CUST_145,1,1433,5507,2,16,1,0,0,0,0,0,0,0
CUST_236,0,1955,10284,0,13,5,0,0,0,0,0,1,0
CUST_795,1,2508,4363,3,10,5,0,0,0,0,0,1,0
CUST_613,1,2772,5561,1,9,2,0,0,0,0,0,0,0
CUST_608,1,1247,7633,3,14,1,0,0,0,0,0,0,0
CUST_722,1,2331,3533,1,23,0,0,0,0,0,0,0,0
CUST_759,1,1150,9880,1,7,5,0,0,0,0,0,1,0
CUST_697,1,2163,140210,2,5,4,1,1,1,0,0,0,0
CUST_289,1,2360,11333,3,20,5,0,0,0,0,0,1,0
CUST_723,1,1244,3111,3,10,1,0,0,0,0,0,0,0
CUST_104,1,183,3898,1,13,4,0,0,0,0,0,0,0
CUST_155,1,2799,3753,0,14,6,0,0,0,0,0,1,0
CUST_299,1,2661,3082,2,11,4,0,0,0,0,0,0,1
CUST_719,1,1614,7333,3,14,0,0,0,0,0,0,0,0
CUST_212,1,2216,3109,1,17,0,0,0,0,0,0,0,0
CUST_637,1,2455,8958,1,1,1,1,0,0,0,0,0,0
CUST_563,0,937,8954,1,1,0,1,0,0,0,0,0,0
CUST_419,0,2928,7471,1,21,0,0,0,0,0,0,0,0
CUST_707,1,2904,13197,1,5,3,1,0,0,0,0,0,0
CUST_461,1,2390,12436,1,13,1,0,0,0,0,0,0,0
CUST_697,1,896,4408,1,20,2,0,0,0,0,0,0,0
CUST_671,1,2902,11772,1,12,6,0,0,0,0,0,1,0
CUST_400,0,1628,98391,3,10,0,0,1,0,0,0,0,0
CUST_119,0,2773,8881,3,18,0,0,0,0,0,0,0,0
CUST_134,1,328,3925,1,7,4,0,0,0,0,0,0,0
CUST_504,1,415,5079,2,15,0,0,0,0,0,0,0,0
CUST_223,1,203,15349,0,8,6,0,0,0,0,0,1,0
CUST_278,1,1180,9179,1,14,5,0,0,0,0,0,1,0
CUST_564,0,2485,3824,1,9,0,0,0,0,0,0,0,0
CUST_170,1,757,74901,0,21,1,0,1,0,0,0,0,0
CUST_648,1,1113,19604,3,17,1,0,0,0,0,0,0,0
CUST_116,1,1646,5524,1,0,5,1,0,0,0,0,1,0
CUST_790,0,881,19275,2,14,6,0,0,0,0,0,1,0
CUST_141,0,1084,30109,2,1,1,1,0,0,0,0,0,0
CUST_793,1,2085,10757,2,17,5,0,0,0,0,0,1,0
CUST_572,1,2225,168703,1,2,4,1,1,1,0,0,0,0
CUST_785,1,2144,8384,1,21,5,0,0,0,0,0,1,0
CUST_354,1,536,5628,1,22,0,0,0,0,0,0,0,0
CUST_569,1,1988,4434,1,21,6,0,0,0,0,0,1,0
CUST_633,1,1795,7318,3,21,4,0,0,0,0,0,0,0
CUST_251,0,1227,158179,0,5,6,1,1,1,0,0,1,0
CUST_688,1,285,7808,3,13,6,0,0,0,0,0,1,0
CUST_278,1,984,189273,3,16,3,0,1,0,0,0,0,0
CUST_362,1,567,4358,3,8,1,0,0,0,0,0,0,0
CUST_120,1,2139,4783,1,1,0,1,0,0,0,0,0,0
CUST_171,1,467,4386,3,18,0,0,0,0,0,0,0,0
CUST_636,1,1071,12780,1,15,5,0,0,0,0,0,1,0
CUST_291,1,2911,16697,0,22,0,0,0,0,0,0,0,0
CUST_266,0,2369,18133,1,5,3,1,0,0,0,0,0,0
CUST_223,1,363,199659,3,17,0,0,1,0,0,0,0,0
CUST_207,1,2097,11251,1,10,3,0,0,0,0,0,0,0
CUST_794,0,678,290810,1,9,3,0,1,0,0,0,0,0
CUST_123,1,160,228736,0,23,5,0,1,0,1,0,1,0
CUST_208,0,2323,7736,2,13,6,0,0,0,0,0,1,0
CUST_166,1,1726,6679,0,17,4,0,0,0,0,0,0,0
CUST_255,0,2803,11781,2,1,6,1,0,0,0,0,1,0
CUST_247,1,585,9621,1,9,6,0,0,0,0,0,1,0
CUST_194,1,1014,3768,0,5,1,1,0,0,0,0,0,0
CUST_327,1,42,4631,1,0,1,1,0,0,0,0,0,0
CUST_397,1,2546,27805,3,7,4,0,0,0,0,0,0,0
CUST_370,1,2505,15009,2,8,0,0,0,0,0,0,0,0
CUST_469,1,1190,9333,2,19,0,0,0,0,0,0,0,0
CUST_626,1,1975,13064,3,19,3,0,0,0,0,0,0,0
CUST_633,1,1544,4943,2,3,3,1,0,0,0,0,0,0
CUST_481,1,1273,6843,2,18,5,0,0,0,0,0,1,0
CUST_650,1,833,62836,1,12,1,0,1,0,0,0,0,0
CUST_559,1,2745,7482,3,0,6,1,0,0,0,0,1,0
CUST_383,1,651,3003,3,18,5,0,0,0,0,0,1,0
CUST_238,0,959,6875,3,20,3,0,0,0,0,0,0,0
CUST_111,0,442,6024,2,19,4,0,0,0,0,0,0,0
CUST_649,1,1636,13697,3,6,0,1,0,0,0,0,0,0
CUST_510,1,365,8856,1,21,5,0,0,0,0,0,1,0
CUST_438,0,577,5092,1,8,6,0,0,0,0,0,1,0
CUST_659,1,133,4060,3,14,0,0,0,0,0,0,0,0
CUST_475,1,300,10013,2,9,6,0,0,0,0,0,1,0
CUST_555,0,1040,10785,3,15,0,0,0,0,0,0,0,0
CUST_252,1,366,218478,2,15,0,0,1,0,0,0,0,0
CUST_134,1,757,5339,3,13,4,0,0,0,0,0,0,0
CUST_567,1,2500,8702,2,7,2,0,0,0,0,0,0,0
CUST_364,1,1487,4383,3,21,2,0,0,0,0,0,0,0
CUST_711,1,444,9871,1,17,4,0,0,0,0,0,0,0
CUST_696,1,2466,8743,3,15,0,0,0,0,0,0,0,0
CUST_783,1,1568,9052,1,3,4,1,0,0,0,0,0,0
CUST_616,0,992,68366,2,15,2,0,1,0,0,0,0,0
CUST_788,0,257,139508,3,12,2,0,1,0,0,1,0,0
CUST_307,1,1866,6082,3,15,6,0,0,0,0,0,1,0
CUST_185,1,1794,8393,1,18,4,0,0,0,0,0,0,1
CUST_562,1,2765,267287,1,16,5,0,1,0,0,0,1,0
CUST_743,1,1653,17510,1,0,4,1,0,0,0,0,0,1
CUST_666,1,1492,11241,3,12,4,0,0,0,0,0,0,0
