transaction_id,customer_id,kyc_verified,account_age_days,transaction_amount,channel,is_fraud,year,month,day,dayofweek,hour
200000,799,1,1050,256369,0,0,2025,8,12,1,2
200001,484,1,295,6581,0,0,2025,8,25,0,1
200002,791,1,2083,4492,0,0,2025,8,17,6,12
200003,664,1,2789,275413,1,0,2025,8,7,3,6
200004,157,1,694,98098,1,0,2025,8,20,2,21
200005,654,1,1624,14744,0,0,2025,8,17,6,12
200006,288,1,2506,5896,2,0,2025,8,23,5,1
200007,135,0,2001,5276,3,0,2025,8,2,5,7
200008,738,1,2276,16030,3,0,2025,8,10,6,3
200009,639,1,1980,5294,3,0,2025,8,24,6,0
200010,526,1,1398,69506,0,0,2025,8,23,5,3
200011,234,1,2990,20428,3,0,2025,8,14,3,7
200012,625,1,1957,125754,3,0,2025,8,22,4,23
200013,137,0,688,6451,3,1,2025,8,12,1,6
200014,584,0,1384,11780,0,0,2025,8,12,1,11
200015,408,0,534,214584,3,1,2025,8,6,2,21
200016,777,1,2515,44628,3,0,2025,8,5,1,4
200017,381,1,2642,7166,0,0,2025,8,20,2,6
200018,127,1,2086,6814,0,0,2025,8,9,5,8
200019,451,1,462,14017,3,0,2025,8,20,2,19
200020,612,1,259,10479,0,0,2025,8,4,0,0
200021,435,1,1002,141766,0,1,2025,8,4,0,12
200022,630,1,2184,176991,3,1,2025,8,18,0,15
200023,194,1,1014,3768,2,0,2025,8,19,1,5
200024,682,1,2083,4904,2,0,2025,8,3,6,23
200025,641,1,389,12674,3,0,2025,8,16,5,12
200026,507,0,923,134076,1,1,2025,8,18,0,0
200027,212,1,2668,7307,3,0,2025,8,2,5,17
200028,424,0,1135,5936,2,0,2025,8,17,6,15
200029,106,1,1174,9784,0,0,2025,8,17,6,18
200030,309,1,2229,5062,2,0,2025,8,11,0,10
200031,242,1,2920,4677,0,0,2025,8,22,4,12
200032,787,1,1669,5160,1,0,2025,8,11,0,10
200033,514,1,880,4523,0,0,2025,8,6,2,21
200034,217,0,1243,5316,2,0,2025,8,2,5,22
200035,689,1,492,6438,2,0,2025,8,16,5,11
200036,122,1,1669,12439,2,0,2025,8,3,6,2
200037,397,0,500,42096,0,0,2025,8,3,6,20
200038,610,1,648,5347,0,0,2025,8,4,0,19
200039,171,0,2880,190257,2,0,2025,8,1,4,6
200040,521,1,1846,6066,2,0,2025,8,18,0,16
200041,303,1,2687,180326,0,0,2025,8,22,4,19
200042,324,1,711,4916,0,0,2025,8,14,3,18
200043,115,1,1171,7296,0,0,2025,8,13,2,17
200044,662,1,1094,290970,0,0,2025,8,4,0,19
200045,111,0,2600,6807,2,0,2025,8,3,6,6
200046,365,1,459,162442,0,1,2025,8,9,5,6
200047,313,1,749,3325,3,1,2025,8,3,6,15
200048,166,1,2850,5498,0,0,2025,8,4,0,13
200049,693,1,486,7056,3,0,2025,8,25,0,17
200050,377,0,624,12421,3,0,2025,8,13,2,19
200051,114,1,2773,136331,3,0,2025,8,19,1,1
200052,174,1,2333,10160,0,0,2025,8,10,6,17
200053,175,0,2622,4688,2,0,2025,8,6,2,20
200054,693,1,665,14948,2,0,2025,8,21,3,17
200055,354,1,598,7265,0,0,2025,8,1,4,7
200056,232,1,2206,5637,0,0,2025,8,9,5,14
200057,755,1,151,14898,0,0,2025,8,3,6,15
200058,184,1,1645,5804,0,0,2025,8,10,6,5
200059,782,0,1596,9134,0,0,2025,8,17,6,22
200060,389,0,391,2865,0,0,2025,8,15,4,18
200061,100,1,93,199623,3,0,2025,8,17,6,5
200062,211,0,1177,8878,3,0,2025,8,20,2,20
200063,609,1,1205,147306,3,1,2025,8,11,0,19
200064,720,1,802,12726,3,0,2025,8,12,1,7
200065,430,1,478,113523,0,0,2025,8,14,3,2
200066,795,1,1184,16143,2,0,2025,8,20,2,10
200067,496,1,1340,8264,2,0,2025,8,13,2,8
200068,267,1,2662,3935,3,0,2025,8,14,3,0
200069,140,1,2998,11163,3,0,2025,8,21,3,12
200070,334,1,2378,9180,1,0,2025,8,19,1,1
200071,742,1,662,11904,0,0,2025,8,13,2,15
200072,267,1,1472,16214,1,0,2025,8,7,3,21
200073,747,1,520,71155,0,0,2025,8,23,5,1
200074,709,1,2069,11108,1,0,2025,8,5,1,1
200075,393,1,1562,11995,1,0,2025,8,7,3,17
200076,565,1,1639,23769,0,0,2025,8,25,0,16
200077,162,1,505,7286,0,0,2025,8,9,5,23
200078,216,1,1854,7302,2,0,2025,8,20,2,7
200079,541,1,2737,5926,0,0,2025,8,22,4,19
200080,660,1,790,4549,0,0,2025,8,19,1,21
200081,575,1,817,9287,0,0,2025,8,24,6,15
200082,413,1,982,11106,0,0,2025,8,9,5,16
200083,458,1,1037,182977,3,1,2025,8,12,1,20
200084,495,1,227,4506,1,0,2025,8,15,4,17
200085,584,1,2175,6119,3,0,2025,8,6,2,12
200086,105,1,2361,2431,1,0,2025,8,14,3,5
200087,607,1,1164,7118,0,0,2025,8,5,1,16
200088,779,1,1464,5805,0,0,2025,8,25,0,6
200089,743,1,1653,17510,0,0,2025,8,15,4,0
200090,217,0,12,7872,0,0,2025,8,13,2,18
200091,540,1,1244,17962,0,0,2025,8,1,4,14
200092,257,1,1376,2943,0,0,2025,8,6,2,16
200093,658,1,2482,3275,3,0,2025,8,9,5,8
200094,512,1,2945,15935,0,0,2025,8,17,6,13
200095,251,1,392,3622,3,0,2025,8,2,5,22
200096,771,1,1546,9152,3,0,2025,8,12,1,14
200097,479,1,60,295368,0,0,2025,8,14,3,16
200098,626,1,915,9755,0,0,2025,8,14,3,3
200099,350,1,2300,8927,3,0,2025,8,2,5,15
200100,341,1,2221,2975,0,0,2025,8,4,0,2
200101,469,1,1494,9944,0,0,2025,8,16,5,0
200102,376,1,1669,11256,1,0,2025,8,7,3,11
200103,307,1,621,71680,1,0,2025,8,4,0,12
200104,179,1,1407,9688,3,0,2025,8,21,3,8
200105,391,0,219,31541,0,1,2025,8,18,0,20
200106,137,1,670,10896,1,0,2025,8,8,4,13
200107,321,1,2723,282778,3,0,2025,8,15,4,22
200108,773,1,732,21880,2,0,2025,8,24,6,14
200109,354,1,570,7732,0,0,2025,8,14,3,9
200110,691,0,2919,6016,0,0,2025,8,11,0,5
200111,494,1,1771,17738,1,0,2025,8,10,6,5
200112,782,1,1206,28044,2,0,2025,8,6,2,14
200113,491,1,2832,11674,0,0,2025,8,10,6,1
200114,713,1,626,9692,2,0,2025,8,16,5,0
200115,467,1,535,181337,3,0,2025,8,24,6,17
200116,445,1,2948,19526,3,0,2025,8,18,0,16
200117,319,1,2237,9034,1,0,2025,8,19,1,6
200118,290,1,71,5219,3,0,2025,8,6,2,17
200119,106,1,1753,7301,0,0,2025,8,6,2,22
200120,471,1,2102,8548,0,0,2025,8,3,6,5
200121,446,0,1741,16998,0,1,2025,8,15,4,12
200122,488,1,30,9454,1,0,2025,8,19,1,17
200123,416,1,1044,5438,1,0,2025,8,10,6,5
200124,676,1,1330,5265,0,0,2025,8,16,5,23
200125,422,1,1120,14686,2,0,2025,8,5,1,2
200126,522,1,2439,211389,3,0,2025,8,22,4,5
200127,637,1,2159,25541,1,0,2025,8,8,4,6
200128,654,1,2691,17085,0,0,2025,8,2,5,15
200129,455,1,1518,7095,1,0,2025,8,9,5,7
200130,351,1,2036,11983,2,0,2025,8,23,5,18
200131,642,1,923,67492,3,0,2025,8,4,0,7
200132,437,1,1344,5274,0,0,2025,8,6,2,19
200133,695,1,1097,23975,0,0,2025,8,13,2,23
200134,499,0,1330,7378,1,1,2025,8,15,4,23
200135,234,1,1669,4855,3,0,2025,8,11,0,10
200136,301,1,320,3636,3,0,2025,8,21,3,4
200137,306,1,1793,15227,3,0,2025,8,1,4,8
200138,227,1,224,14821,0,0,2025,8,15,4,3
200139,689,1,1670,13969,1,0,2025,8,12,1,3
200140,603,1,2080,9528,1,0,2025,8,11,0,21
200141,712,1,1094,54692,3,0,2025,8,16,5,19
200142,734,1,2766,250746,3,1,2025,8,3,6,17
200143,402,1,1269,6238,3,0,2025,8,15,4,8
200144,378,1,2230,5092,3,0,2025,8,18,0,2
200145,464,0,2957,5803,1,0,2025,8,20,2,7
200146,309,1,93,13251,0,0,2025,8,14,3,8
200147,146,0,2038,13905,0,0,2025,8,1,4,5
200148,615,1,779,220769,0,0,2025,8,5,1,6
200149,440,1,1368,17004,0,0,2025,8,19,1,18
200150,781,1,2964,4939,0,0,2025,8,10,6,9
200151,225,1,1073,214332,3,0,2025,8,18,0,3
200152,382,1,2707,15175,0,0,2025,8,6,2,19
200153,507,1,1391,11856,1,0,2025,8,16,5,21
200154,139,1,1870,9926,0,0,2025,8,5,1,7
200155,327,1,861,6685,2,0,2025,8,2,5,12
200156,650,1,1212,14779,3,0,2025,8,8,4,5
200157,398,1,2304,10358,0,0,2025,8,21,3,6
200158,692,1,2235,16827,0,0,2025,8,3,6,0
200159,393,1,712,6612,3,0,2025,8,11,0,15
200160,316,1,791,8666,0,0,2025,8,15,4,9
200161,165,1,1858,10606,3,0,2025,8,5,1,21
200162,260,1,265,8062,0,0,2025,8,10,6,20
200163,299,1,851,4667,1,0,2025,8,20,2,3
200164,374,1,2603,88718,0,0,2025,8,10,6,8
200165,323,1,2130,16228,3,0,2025,8,14,3,2
200166,521,1,148,4178,0,0,2025,8,3,6,11
200167,407,1,273,12568,3,0,2025,8,18,0,6
200168,481,1,1954,16039,2,0,2025,8,23,5,18
200169,688,1,488,3275,3,0,2025,8,17,6,16
200170,649,1,2435,57077,0,0,2025,8,1,4,14
200171,514,1,816,238078,0,0,2025,8,15,4,13
200172,557,1,2397,7353,3,0,2025,8,5,1,19
200173,602,1,1490,6953,0,0,2025,8,14,3,23
200174,128,1,201,22150,3,0,2025,8,8,4,12
200175,382,0,518,15951,0,0,2025,8,9,5,7
200176,225,1,296,6251,0,0,2025,8,12,1,7
200177,125,1,2840,5391,2,0,2025,8,2,5,9
200178,193,1,647,44200,0,0,2025,8,3,6,10
200179,745,1,1637,6924,1,0,2025,8,16,5,21
200180,716,1,2813,2790,0,0,2025,8,21,3,15
