iter	Passed	Remaining
0	2	2500
1	4	2300
2	6	2288
3	9	2264
4	11	2250
5	14	2385
6	16	2369
7	18	2332
8	20	2296
9	23	2282
10	25	2316
11	28	2319
12	32	2450
13	34	2439
14	37	2441
15	40	2470
16	42	2449
17	44	2424
18	46	2406
19	48	2390
20	50	2358
21	52	2340
22	54	2333
23	57	2340
24	60	2344
25	62	2330
26	64	2322
27	65	2284
28	67	2267
29	69	2251
30	71	2237
31	74	2241
32	76	2239
33	78	2240
34	81	2234
35	84	2260
36	86	2247
37	88	2243
38	90	2236
39	92	2223
40	94	2213
41	97	2218
42	99	2215
43	101	2209
44	104	2208
45	106	2204
46	108	2197
47	110	2189
48	112	2192
49	114	2182
50	116	2174
51	118	2168
52	121	2164
53	123	2159
54	125	2155
55	127	2153
56	129	2145
57	131	2137
58	133	2130
59	138	2162
60	140	2156
61	142	2153
62	145	2167
63	147	2162
64	149	2154
65	152	2154
66	154	2154
67	157	2160
68	159	2154
69	162	2160
